Tipo;Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU;Grupo;Valor_Total
Quitinete;Copacabana;1;0;0;40;1700.0;500.0;60.0;Apartamento;2260.0
Casa;Jardim Botânico;2;0;1;100;7000.0;0.0;0.0;Casa;7000.0
Apartamento;Centro;1;0;0;15;800.0;390.0;20.0;Apartamento;1210.0
Apartamento;Higienópolis;1;0;0;48;800.0;230.0;0.0;Apartamento;1030.0
Apartamento;Cachambi;2;0;0;50;1300.0;301.0;17.0;Apartamento;1618.0
Apartamento;Grajaú;2;1;0;70;1500.0;642.0;74.0;Apartamento;2216.0
Apartamento;Lins de Vasconcelos;3;1;1;90;1500.0;455.0;14.0;Apartamento;1969.0
Apartamento;Copacabana;1;0;1;40;2000.0;561.0;50.0;Apartamento;2611.0
Quitinete;Copacabana;1;0;0;27;1800.0;501.0;0.0;Apartamento;2301.0
Apartamento;Copacabana;4;3;1;243;13000.0;2000.0;803.0;Apartamento;15803.0
Flat;Botafogo;3;1;1;80;3800.0;1040.0;0.0;Apartamento;4840.0
Apartamento;Freguesia (Jacarepaguá);3;0;0;54;950.0;300.0;28.0;Apartamento;1278.0
Apartamento;Barra da Tijuca;2;1;1;67;1700.0;589.0;147.0;Apartamento;2436.0
Apartamento;Tijuca;2;1;0;110;1900.0;700.0;138.0;Apartamento;2738.0
Casa de Condomínio;Barra da Tijuca;4;3;2;466;7500.0;2695.0;0.0;Casa;10195.0
Apartamento;Olaria;3;1;0;68;1000.0;670.0;0.0;Apartamento;1670.0
Apartamento;Tijuca;2;1;0;78;2000.0;700.0;0.0;Apartamento;2700.0
Flat;Leblon;1;0;0;56;4500.0;1900.0;1500.0;Apartamento;7900.0
Apartamento;Ipanema;3;1;1;125;7000.0;2100.0;463.0;Apartamento;9563.0
Apartamento;Tijuca;1;0;0;48;750.0;772.0;25.0;Apartamento;1547.0
Apartamento;Barra da Tijuca;3;3;1;175;4200.0;1500.0;500.0;Apartamento;6200.0
Casa;Campo Grande;4;1;2;400;12000.0;0.0;0.0;Casa;12000.0
Apartamento;Botafogo;2;1;0;76;2500.0;740.0;0.0;Apartamento;3240.0
Apartamento;Copacabana;3;1;2;378;10000.0;2150.0;700.0;Apartamento;12850.0
Apartamento;Copacabana;3;0;0;180;5500.0;1780.0;420.0;Apartamento;7700.0
Apartamento;Recreio dos Bandeirantes;3;1;1;105;2300.0;648.0;0.0;Apartamento;2948.0
Apartamento;Leblon;3;1;0;110;3900.0;1500.0;120.0;Apartamento;5520.0
Quitinete;Copacabana;1;0;0;27;1300.0;380.0;53.0;Apartamento;1733.0
Apartamento;Jardim Oceânico;3;3;1;200;3500.0;1780.0;496.0;Apartamento;5776.0
Apartamento;Barra da Tijuca;3;1;2;70;1800.0;1095.0;140.0;Apartamento;3035.0
Apartamento;Copacabana;4;1;0;244;5000.0;2500.0;4100.0;Apartamento;11600.0
Apartamento;Barra da Tijuca;3;2;1;110;4500.0;2000.0;450.0;Apartamento;6950.0
Apartamento;Recreio dos Bandeirantes;2;2;2;90;3000.0;1340.0;0.0;Apartamento;4340.0
Apartamento;Recreio dos Bandeirantes;3;2;2;100;2600.0;380.0;0.0;Apartamento;2980.0
Apartamento;Barra da Tijuca;3;1;1;72;2350.0;600.0;70.0;Apartamento;3020.0
Apartamento;Humaitá;2;2;1;180;4000.0;2500.0;300.0;Apartamento;6800.0
Apartamento;Recreio dos Bandeirantes;3;1;2;92;2300.0;840.0;200.0;Apartamento;3340.0
Apartamento;Centro;1;0;0;27;750.0;371.0;19.0;Apartamento;1140.0
Apartamento;Ipanema;1;0;0;35;2000.0;650.0;75.0;Apartamento;2725.0
Apartamento;Ipanema;1;0;0;38;1400.0;530.0;77.0;Apartamento;2007.0
Apartamento;Recreio dos Bandeirantes;2;1;2;83;1600.0;1160.0;157.0;Apartamento;2917.0
Casa de Condomínio;Barra da Tijuca;5;10;5;1600;25000.0;1600.0;0.0;Casa;26600.0
Apartamento;Barra da Tijuca;4;3;3;153;6500.0;2300.0;434.0;Apartamento;9234.0
Apartamento;Península;4;3;4;267;18000.0;3100.0;400.0;Apartamento;21500.0
Apartamento;Ipanema;3;1;0;87;3200.0;1305.0;217.0;Apartamento;4722.0
Apartamento;Méier;3;1;0;90;1550.0;844.0;80.0;Apartamento;2474.0
Apartamento;Vargem Pequena;3;1;0;53;1400.0;385.0;28.0;Apartamento;1813.0
Apartamento;Botafogo;3;1;1;108;5950.0;1405.0;289.0;Apartamento;7644.0
Apartamento;Maracanã;2;0;0;86;1800.0;600.0;82.0;Apartamento;2482.0
Apartamento;Recreio dos Bandeirantes;2;1;1;74;1850.0;675.0;200.0;Apartamento;2725.0
Apartamento;Jacarepaguá;3;1;1;74;1900.0;556.0;98.0;Apartamento;2554.0
Apartamento;Ipanema;3;2;1;150;8000.0;2400.0;0.0;Apartamento;10400.0
Apartamento;Ipanema;3;1;1;140;7900.0;2900.0;500.0;Apartamento;11300.0
Casa;Méier;2;0;0;51;1500.0;50.0;0.0;Casa;1550.0
Apartamento;Jardim Botânico;2;2;0;95;4000.0;1170.0;0.0;Apartamento;5170.0
Apartamento;Cachambi;2;0;0;60;1000.0;380.0;280.0;Apartamento;1660.0
Casa;São Conrado;4;2;4;730;28000.0;2000.0;12000.0;Casa;42000.0
Casa de Condomínio;Freguesia (Jacarepaguá);5;3;1;140;2500.0;1200.0;0.0;Casa;3700.0
Apartamento;Leblon;2;1;1;80;3500.0;990.0;245.0;Apartamento;4735.0
Apartamento;Barra da Tijuca;4;4;4;240;12700.0;4400.0;1440.0;Apartamento;18540.0
Apartamento;Barra da Tijuca;3;2;1;104;2600.0;1364.0;406.0;Apartamento;4370.0
Apartamento;Vila Valqueire;2;1;0;45;800.0;280.0;14.0;Apartamento;1094.0
Apartamento;Gávea;2;1;0;70;2800.0;680.0;98.0;Apartamento;3578.0
Apartamento;Barra da Tijuca;2;1;1;88;2700.0;1300.0;2042.0;Apartamento;6042.0
Apartamento;Centro;1;1;0;37;1100.0;540.0;900.0;Apartamento;2540.0
Apartamento;Cosme Velho;3;4;0;130;5500.0;1407.0;246.0;Apartamento;7153.0
Apartamento;Bonsucesso;2;1;0;77;1500.0;740.0;0.0;Apartamento;2240.0
Apartamento;Barra da Tijuca;3;2;2;85;2500.0;1400.0;190.0;Apartamento;4090.0
Apartamento;Todos os Santos;3;1;1;78;1450.0;630.0;73.0;Apartamento;2153.0
Apartamento;Laranjeiras;2;1;0;54;2300.0;582.0;0.0;Apartamento;2882.0
Quitinete;Centro;0;0;0;30;800.0;505.0;0.0;Apartamento;1305.0
Apartamento;Jacarepaguá;2;1;1;69;2000.0;780.0;0.0;Apartamento;2780.0
Apartamento;Ipanema;3;1;1;120;7000.0;1800.0;370.0;Apartamento;9170.0
Apartamento;Barra da Tijuca;2;1;1;78;2750.0;1300.0;138.0;Apartamento;4188.0
Apartamento;Itanhangá;2;1;0;60;1000.0;450.0;150.0;Apartamento;1600.0
Apartamento;Recreio dos Bandeirantes;2;1;1;90;2400.0;1700.0;135.0;Apartamento;4235.0
Apartamento;Humaitá;2;1;0;86;4000.0;1259.0;188.0;Apartamento;5447.0
Quitinete;Flamengo;0;0;0;28;1000.0;581.0;53.0;Apartamento;1634.0
Apartamento;Barra da Tijuca;1;1;1;70;1700.0;870.0;143.0;Apartamento;2713.0
Apartamento;Tijuca;2;1;0;80;1800.0;1100.0;84.0;Apartamento;2984.0
Casa de Vila;Piedade;2;1;0;70;1300.0;0.0;0.0;Casa;1300.0
Apartamento;Tijuca;3;1;0;172;2700.0;780.0;170.0;Apartamento;3650.0
Apartamento;Freguesia (Jacarepaguá);4;3;2;261;2800.0;2535.0;3900.0;Apartamento;9235.0
Apartamento;Ipanema;3;1;1;145;8000.0;14768.0;4394.0;Apartamento;27162.0
Apartamento;Olaria;2;1;0;53;1100.0;160.0;0.0;Apartamento;1260.0
Quitinete;Copacabana;1;0;0;29;1200.0;460.0;0.0;Apartamento;1660.0
Apartamento;Botafogo;2;1;1;83;2800.0;560.0;138.0;Apartamento;3498.0
Apartamento;Botafogo;2;1;1;80;4300.0;1178.0;187.0;Apartamento;5665.0
Apartamento;Lagoa;3;1;2;250;13900.0;2500.0;0.0;Apartamento;16400.0
Apartamento;Leblon;3;2;1;147;7500.0;1028.0;247.0;Apartamento;8775.0
Apartamento;Copacabana;2;1;0;67;3500.0;950.0;160.0;Apartamento;4610.0
Apartamento;Ipanema;3;1;1;150;25000.0;1616.0;4255.0;Apartamento;30871.0
Apartamento;Barra da Tijuca;4;3;2;220;7500.0;3911.0;716.0;Apartamento;12127.0
Apartamento;Catete;2;0;0;77;2400.0;1130.0;140.0;Apartamento;3670.0
Apartamento;Jardim Carioca;2;1;0;55;1350.0;430.0;47.0;Apartamento;1827.0
Casa;Maracanã;8;3;5;259;7000.0;0.0;0.0;Casa;7000.0
Apartamento;Leblon;3;1;0;85;3900.0;800.0;1211.0;Apartamento;5911.0
Apartamento;Catete;2;0;0;75;3350.0;455.0;0.0;Apartamento;3805.0
Apartamento;Recreio dos Bandeirantes;3;2;1;90;1200.0;880.0;144.0;Apartamento;2224.0
Casa;Benfica;1;0;0;33;1200.0;0.0;0.0;Casa;1200.0
Quitinete;Glória;1;0;0;16;1400.0;300.0;210.0;Apartamento;1910.0
Apartamento;Praça Seca;2;0;0;80;900.0;350.0;0.0;Apartamento;1250.0
Apartamento;Vila Isabel;1;0;0;37;1000.0;285.0;24.0;Apartamento;1309.0
Apartamento;Copacabana;3;0;0;150;5500.0;1780.0;420.0;Apartamento;7700.0
Apartamento;Lagoa;3;1;1;127;5000.0;1540.0;370.0;Apartamento;6910.0
Apartamento;Freguesia (Jacarepaguá);2;1;1;74;1700.0;652.0;104.0;Apartamento;2456.0
Apartamento;Barra da Tijuca;3;2;1;128;3000.0;1384.0;324.0;Apartamento;4708.0
Apartamento;Gávea;3;1;1;160;8000.0;2000.0;0.0;Apartamento;10000.0
Apartamento;Copacabana;3;1;1;200;6200.0;1800.0;420.0;Apartamento;8420.0
Apartamento;Barra da Tijuca;2;1;0;58;1500.0;666.0;106.0;Apartamento;2272.0
Apartamento;Botafogo;3;1;1;100;5500.0;1300.0;220.0;Apartamento;7020.0
Apartamento;Barra da Tijuca;4;2;3;320;5500.0;2700.0;800.0;Apartamento;9000.0
Apartamento;Recreio dos Bandeirantes;2;1;1;75;1000.0;1040.0;112.0;Apartamento;2152.0
Apartamento;Ipanema;2;0;2;52;10000.0;3689.0;393.0;Apartamento;14082.0
Apartamento;Leblon;4;4;4;380;40000.0;4700.0;1500.0;Apartamento;46200.0
Apartamento;Recreio dos Bandeirantes;3;2;1;104;2200.0;740.0;258.0;Apartamento;3198.0
Apartamento;Barra da Tijuca;2;1;1;72;2600.0;1700.0;237.0;Apartamento;4537.0
Apartamento;Taquara;2;1;0;75;1200.0;330.0;75.0;Apartamento;1605.0
Apartamento;Botafogo;4;1;1;190;5500.0;1720.0;350.0;Apartamento;7570.0
Quitinete;Catete;0;0;0;20;700.0;500.0;28.0;Apartamento;1228.0
Apartamento;Ipanema;4;6;1;700;65000.0;8860.0;5699.0;Apartamento;79559.0
Apartamento;Méier;2;0;0;56;899.0;402.0;135.0;Apartamento;1436.0
Apartamento;Freguesia (Jacarepaguá);2;1;1;71;1200.0;600.0;54.0;Apartamento;1854.0
Apartamento;Lagoa;3;1;2;105;3600.0;1100.0;281.0;Apartamento;4981.0
Apartamento;Copacabana;3;1;1;500;15000.0;2580.0;366.0;Apartamento;17946.0
Apartamento;Tijuca;3;0;0;87;1600.0;650.0;100.0;Apartamento;2350.0
Apartamento;Botafogo;1;0;0;35;1500.0;470.0;50.0;Apartamento;2020.0
Apartamento;Ipanema;3;3;1;220;22000.0;4000.0;1200.0;Apartamento;27200.0
Apartamento;Copacabana;3;0;0;100;3300.0;850.0;90.0;Apartamento;4240.0
Apartamento;Barra da Tijuca;3;1;2;93;2500.0;1100.0;0.0;Apartamento;3600.0
Apartamento;Engenho Novo;2;2;0;78;800.0;915.0;55.0;Apartamento;1770.0
Apartamento;Barra da Tijuca;2;1;1;85;2500.0;1573.0;197.0;Apartamento;4270.0
Apartamento;Leblon;2;1;1;115;7500.0;980.0;270.0;Apartamento;8750.0
Apartamento;Botafogo;2;1;1;70;3700.0;1133.0;147.0;Apartamento;4980.0
Apartamento;Freguesia (Jacarepaguá);2;1;1;95;1600.0;650.0;0.0;Apartamento;2250.0
Apartamento;Barra da Tijuca;4;4;4;392;30000.0;7000.0;3000.0;Apartamento;40000.0
Apartamento;Campo Grande;2;0;0;60;1200.0;570.0;0.0;Apartamento;1770.0
Apartamento;Flamengo;1;0;0;40;1900.0;430.0;54.0;Apartamento;2384.0
Apartamento;Engenho de Dentro;3;1;1;61;1400.0;498.0;0.0;Apartamento;1898.0
Apartamento;Copacabana;3;2;1;250;7000.0;1500.0;434.0;Apartamento;8934.0
Flat;Copacabana;1;1;0;63;3600.0;1215.0;0.0;Apartamento;4815.0
Flat;Leblon;1;0;1;50;4500.0;1300.0;150.0;Apartamento;5950.0
Apartamento;Ipanema;3;2;1;200;15000.0;1500.0;572.0;Apartamento;17072.0
Apartamento;Copacabana;3;1;0;140;3700.0;1347.0;0.0;Apartamento;5047.0
Apartamento;Copacabana;2;0;0;50;2500.0;750.0;760.0;Apartamento;4010.0
Casa;Jardim Carioca;3;2;1;135;3000.0;0.0;0.0;Casa;3000.0
Apartamento;Tijuca;3;1;1;78;2500.0;730.0;178.0;Apartamento;3408.0
Quitinete;Centro;0;0;0;28;700.0;400.0;16.0;Apartamento;1116.0
Apartamento;Lagoa;3;1;1;75;4000.0;1250.0;309.0;Apartamento;5559.0
Apartamento;Recreio dos Bandeirantes;3;2;1;102;1850.0;882.0;0.0;Apartamento;2732.0
Apartamento;Tijuca;1;0;0;65;1200.0;320.0;0.0;Apartamento;1520.0
Apartamento;Barra da Tijuca;2;1;0;60;1500.0;1266.0;233.0;Apartamento;2999.0
Apartamento;Copacabana;4;1;2;210;13000.0;2200.0;650.0;Apartamento;15850.0
Apartamento;Maracanã;3;2;3;158;2400.0;1265.0;0.0;Apartamento;3665.0
Apartamento;Barra da Tijuca;2;1;1;83;2000.0;1548.0;260.0;Apartamento;3808.0
Apartamento;Laranjeiras;5;2;1;400;9000.0;3000.0;0.0;Apartamento;12000.0
Apartamento;Barra da Tijuca;3;1;1;84;1900.0;1103.0;212.0;Apartamento;3215.0
Apartamento;Freguesia (Jacarepaguá);3;1;1;77;1600.0;850.0;165.0;Apartamento;2615.0
Apartamento;São Conrado;4;4;4;510;25000.0;6600.0;0.0;Apartamento;31600.0
Apartamento;Tijuca;3;0;0;75;1800.0;350.0;0.0;Apartamento;2150.0
Apartamento;Ipanema;3;1;1;126;5500.0;1400.0;2000.0;Apartamento;8900.0
Casa;Lins de Vasconcelos;2;0;0;40;950.0;0.0;50.0;Casa;1000.0
Apartamento;Leblon;4;2;2;250;17500.0;4990.0;620.0;Apartamento;23110.0
Apartamento;Copacabana;4;2;2;436;17000.0;3900.0;1000.0;Apartamento;21900.0
Apartamento;Freguesia (Jacarepaguá);3;3;2;173;3200.0;1800.0;0.0;Apartamento;5000.0
Apartamento;Tijuca;2;1;1;71;1500.0;600.0;0.0;Apartamento;2100.0
Apartamento;Barra da Tijuca;2;1;1;81;1900.0;1200.0;121.0;Apartamento;3221.0
Casa de Condomínio;Barra da Tijuca;4;2;4;595;30000.0;2500.0;2510.0;Casa;35010.0
Apartamento;Leblon;3;1;0;87;3800.0;970.0;273.0;Apartamento;5043.0
Casa de Condomínio;Recreio dos Bandeirantes;4;4;4;267;6500.0;700.0;3308.0;Casa;10508.0
Apartamento;Laranjeiras;4;1;2;288;7000.0;1870.0;582.0;Apartamento;9452.0
Apartamento;Recreio dos Bandeirantes;1;1;1;102;1900.0;688.0;0.0;Apartamento;2588.0
Apartamento;Leblon;2;1;0;70;4200.0;1100.0;200.0;Apartamento;5500.0
Apartamento;Pilares;3;0;0;65;1200.0;350.0;16.0;Apartamento;1566.0
Apartamento;Barra da Tijuca;3;3;2;169;6500.0;1886.0;450.0;Apartamento;8836.0
Quitinete;Copacabana;1;0;0;23;1000.0;562.0;0.0;Apartamento;1562.0
Apartamento;Laranjeiras;3;1;1;90;2400.0;1311.0;0.0;Apartamento;3711.0
Apartamento;Tijuca;2;0;0;50;1800.0;347.0;25.0;Apartamento;2172.0
Apartamento;Ipanema;3;1;1;140;6500.0;1800.0;506.0;Apartamento;8806.0
Apartamento;Campo Grande;2;0;0;60;800.0;380.0;0.0;Apartamento;1180.0
Apartamento;Ipanema;4;1;1;170;12000.0;1210.0;4222.0;Apartamento;17432.0
Casa;Tijuca;4;1;1;191;4000.0;300.0;0.0;Casa;4300.0
Apartamento;Centro;1;0;0;35;1350.0;420.0;24.0;Apartamento;1794.0
Apartamento;Tijuca;2;0;0;63;1400.0;440.0;61.0;Apartamento;1901.0
Casa de Condomínio;São Conrado;3;2;1;250;5500.0;750.0;500.0;Casa;6750.0
Apartamento;Copacabana;3;1;0;112;3800.0;1123.0;286.0;Apartamento;5209.0
Apartamento;Tijuca;3;1;0;129;1800.0;850.0;116.0;Apartamento;2766.0
Apartamento;Barra da Tijuca;4;3;3;160;8600.0;2300.0;250.0;Apartamento;11150.0
Apartamento;Recreio dos Bandeirantes;2;1;1;93;1400.0;1300.0;0.0;Apartamento;2700.0
Apartamento;Freguesia (Jacarepaguá);3;1;1;93;1800.0;650.0;95.0;Apartamento;2545.0
Apartamento;Barra da Tijuca;1;1;1;60;2200.0;1600.0;350.0;Apartamento;4150.0
Apartamento;Taquara;2;2;0;55;790.0;350.0;0.0;Apartamento;1140.0
Quitinete;Centro;1;0;0;33;990.0;463.0;25.0;Apartamento;1478.0
Apartamento;Copacabana;2;0;0;54;1800.0;590.0;0.0;Apartamento;2390.0
Flat;Arpoador;1;1;1;55;3000.0;1865.0;337.0;Apartamento;5202.0
Apartamento;Catete;2;1;1;70;3300.0;1365.0;180.0;Apartamento;4845.0
Apartamento;Copacabana;5;1;3;390;10000.0;1000.0;1000.0;Apartamento;12000.0
Apartamento;Maracanã;2;1;0;53;1300.0;492.0;16.0;Apartamento;1808.0
Apartamento;Botafogo;1;0;0;35;1000.0;293.0;86.0;Apartamento;1379.0
Apartamento;Tijuca;3;1;0;164;3500.0;1310.0;257.0;Apartamento;5067.0
Apartamento;Jacarepaguá;2;1;1;60;1200.0;524.0;13.0;Apartamento;1737.0
Apartamento;Água Santa;2;1;0;50;850.0;280.0;12.0;Apartamento;1142.0
Apartamento;Botafogo;2;1;1;79;4315.0;1110.0;187.0;Apartamento;5612.0
Apartamento;Recreio dos Bandeirantes;2;1;1;80;1600.0;615.0;3.0;Apartamento;2218.0
Apartamento;Tijuca;1;0;0;36;1300.0;295.0;24.0;Apartamento;1619.0
Apartamento;Jardim Oceânico;4;4;3;190;5700.0;1069.0;808.0;Apartamento;7577.0
Apartamento;Freguesia (Jacarepaguá);3;1;0;84;1500.0;900.0;0.0;Apartamento;2400.0
Apartamento;São Cristóvão;2;0;0;50;1000.0;600.0;0.0;Apartamento;1600.0
Quitinete;Copacabana;1;0;0;26;1400.0;370.0;21.0;Apartamento;1791.0
Casa de Condomínio;Barra da Tijuca;4;4;4;1000;30000.0;2695.0;23715.0;Casa;56410.0
Apartamento;Ilha do Governador;3;1;0;83;1500.0;440.0;132.0;Apartamento;2072.0
Apartamento;Olaria;2;0;0;90;1000.0;150.0;0.0;Apartamento;1150.0
Apartamento;Humaitá;1;0;0;57;3990.0;860.0;100.0;Apartamento;4950.0
Apartamento;Maracanã;3;1;0;95;2500.0;600.0;80.0;Apartamento;3180.0
Casa de Vila;Jardim Sulacap;2;1;2;115;1600.0;1.0;60.0;Casa;1661.0
Apartamento;Leblon;4;2;2;200;11000.0;2900.0;580.0;Apartamento;14480.0
Apartamento;Barra da Tijuca;2;1;1;63;1900.0;824.0;0.0;Apartamento;2724.0
Apartamento;Gávea;2;1;1;100;3900.0;1300.0;320.0;Apartamento;5520.0
Apartamento;Ipanema;3;2;1;165;7500.0;2200.0;532.0;Apartamento;10232.0
Apartamento;Ipanema;3;2;2;160;6000.0;3500.0;4600.0;Apartamento;14100.0
Apartamento;Flamengo;1;1;0;48;2100.0;580.0;70.0;Apartamento;2750.0
Apartamento;Leblon;2;1;1;87;4800.0;1300.0;361.0;Apartamento;6461.0
Casa de Vila;Oswaldo Cruz;1;0;1;40;800.0;0.0;0.0;Casa;800.0
Apartamento;Barra da Tijuca;3;1;1;105;2500.0;1400.0;1500.0;Apartamento;5400.0
Casa de Condomínio;Freguesia (Jacarepaguá);2;1;0;163;1800.0;92.0;46.0;Casa;1938.0
Quitinete;Copacabana;1;0;0;30;1300.0;370.0;30.0;Apartamento;1700.0
Apartamento;Barra da Tijuca;3;1;1;80;3500.0;1410.0;270.0;Apartamento;5180.0
Apartamento;Botafogo;3;1;1;102;5100.0;1300.0;0.0;Apartamento;6400.0
Apartamento;Gávea;3;0;1;120;2700.0;880.0;238.0;Apartamento;3818.0
Apartamento;Humaitá;2;2;1;112;4500.0;1300.0;0.0;Apartamento;5800.0
Apartamento;Vila da Penha;2;0;0;60;900.0;160.0;25.0;Apartamento;1085.0
Apartamento;Lagoa;1;1;0;75;2800.0;800.0;210.0;Apartamento;3810.0
Apartamento;Ipanema;3;1;1;125;7000.0;2100.0;463.0;Apartamento;9563.0
Apartamento;Engenho Novo;2;0;0;53;1400.0;460.0;12.0;Apartamento;1872.0
Apartamento;Recreio dos Bandeirantes;3;3;1;132;2800.0;879.0;0.0;Apartamento;3679.0
Loft;Barra da Tijuca;1;1;1;78;2700.0;1370.0;188.0;Apartamento;4258.0
Apartamento;Barra da Tijuca;2;2;1;86;3500.0;1307.0;0.0;Apartamento;4807.0
Apartamento;Recreio dos Bandeirantes;2;1;1;80;1700.0;690.0;150.0;Apartamento;2540.0
Apartamento;Recreio dos Bandeirantes;4;2;2;200;3600.0;1177.0;320.0;Apartamento;5097.0
Apartamento;Barra da Tijuca;2;1;1;77;2500.0;830.0;156.0;Apartamento;3486.0
Apartamento;Engenho Novo;1;1;0;63;700.0;625.0;36.0;Apartamento;1361.0
Casa;Grajaú;5;4;2;450;7000.0;0.0;500.0;Casa;7500.0
Apartamento;Barra da Tijuca;4;2;2;149;4500.0;2130.0;0.0;Apartamento;6630.0
Apartamento;Recreio dos Bandeirantes;3;2;2;106;2500.0;780.0;248.0;Apartamento;3528.0
Apartamento;Anil;2;1;0;48;1100.0;400.0;0.0;Apartamento;1500.0
Apartamento;Ipanema;4;1;2;250;12000.0;2300.0;1050.0;Apartamento;15350.0
Apartamento;Gávea;2;1;1;68;2700.0;850.0;186.0;Apartamento;3736.0
Apartamento;Barra da Tijuca;2;1;1;75;1400.0;1280.0;0.0;Apartamento;2680.0
Apartamento;Ipanema;2;1;1;97;7000.0;4000.0;4725.0;Apartamento;15725.0
Casa de Condomínio;Vargem Grande;2;2;1;90;1700.0;618.0;338.0;Casa;2656.0
Apartamento;Cachambi;3;0;0;70;900.0;200.0;30.0;Apartamento;1130.0
Quitinete;Leblon;1;0;0;30;1700.0;560.0;62.0;Apartamento;2322.0
Apartamento;Copacabana;4;2;1;279;3150.0;2025.0;370.0;Apartamento;5545.0
Casa;Tanque;2;1;0;59;1200.0;170.0;0.0;Casa;1370.0
Apartamento;Laranjeiras;5;3;2;713;30000.0;3800.0;0.0;Apartamento;33800.0
Apartamento;Cachambi;2;1;0;70;950.0;530.0;30.0;Apartamento;1510.0
Casa;Campo Grande;3;0;0;200;2100.0;0.0;0.0;Casa;2100.0
Apartamento;Recreio dos Bandeirantes;4;2;1;400;3500.0;800.0;500.0;Apartamento;4800.0
Apartamento;Recreio dos Bandeirantes;2;1;1;89;1800.0;884.0;170.0;Apartamento;2854.0
Apartamento;Maracanã;1;1;1;120;1000.0;985.0;150.0;Apartamento;2135.0
Apartamento;Recreio dos Bandeirantes;4;3;2;181;3500.0;1080.0;423.0;Apartamento;5003.0
Apartamento;Tijuca;2;1;1;70;1500.0;890.0;68.0;Apartamento;2458.0
Casa de Condomínio;Barra da Tijuca;5;6;5;640;13800.0;980.0;1800.0;Casa;16580.0
Apartamento;Vaz Lobo;2;0;0;70;1000.0;32.0;0.0;Apartamento;1032.0
Apartamento;Madureira;2;0;0;40;600.0;415.0;0.0;Apartamento;1015.0
Apartamento;Recreio dos Bandeirantes;2;0;0;75;1700.0;659.0;0.0;Apartamento;2359.0
Apartamento;Copacabana;2;1;1;81;2900.0;893.0;190.0;Apartamento;3983.0
Casa;Bonsucesso;2;0;0;51;1000.0;0.0;0.0;Casa;1000.0
Casa de Condomínio;Barra da Tijuca;5;3;5;1000;20000.0;1800.0;1800.0;Casa;23600.0
Flat;Humaitá;1;1;0;55;2000.0;1232.0;176.0;Apartamento;3408.0
Apartamento;Praça Seca;3;0;0;90;900.0;330.0;15.0;Apartamento;1245.0
Apartamento;Vila Isabel;3;3;1;124;1700.0;1400.0;0.0;Apartamento;3100.0
Apartamento;Recreio dos Bandeirantes;5;3;4;430;6000.0;899.0;750.0;Apartamento;7649.0
Apartamento;Ipanema;2;0;1;75;5200.0;476.0;120.0;Apartamento;5796.0
Apartamento;São Conrado;5;2;3;400;13000.0;4165.0;689.0;Apartamento;17854.0
Apartamento;Freguesia (Jacarepaguá);3;2;1;126;1500.0;1000.0;150.0;Apartamento;2650.0
Apartamento;Laranjeiras;2;1;1;70;2300.0;620.0;190.0;Apartamento;3110.0
Apartamento;Recreio dos Bandeirantes;3;2;1;94;1900.0;1300.0;198.0;Apartamento;3398.0
Apartamento;Barra da Tijuca;4;3;4;192;5000.0;2200.0;562.0;Apartamento;7762.0
Apartamento;Copacabana;1;0;0;43;1600.0;452.0;242.0;Apartamento;2294.0
Apartamento;Barra da Tijuca;2;1;1;70;2200.0;780.0;0.0;Apartamento;2980.0
Apartamento;São Francisco Xavier;3;1;1;73;1200.0;520.0;0.0;Apartamento;1720.0
Apartamento;Copacabana;3;0;0;120;3000.0;1420.0;0.0;Apartamento;4420.0
Casa de Condomínio;Vargem Grande;5;4;5;300;5000.0;1500.0;250.0;Casa;6750.0
Apartamento;Pechincha;2;1;0;64;800.0;248.0;14.0;Apartamento;1062.0
Apartamento;Copacabana;1;0;0;45;2800.0;450.0;30.0;Apartamento;3280.0
Apartamento;Laranjeiras;2;0;0;110;2500.0;968.0;167.0;Apartamento;3635.0
Apartamento;Ipanema;4;3;3;433;37000.0;9800.0;0.0;Apartamento;46800.0
Apartamento;Flamengo;2;0;0;85;2700.0;800.0;1150.0;Apartamento;4650.0
Apartamento;Leme;3;1;1;175;8000.0;1380.0;0.0;Apartamento;9380.0
Casa;Engenho Novo;2;0;0;70;1100.0;0.0;0.0;Casa;1100.0
Apartamento;Jacarepaguá;2;1;0;68;1100.0;540.0;0.0;Apartamento;1640.0
Apartamento;Humaitá;2;1;0;64;2500.0;520.0;0.0;Apartamento;3020.0
Apartamento;Copacabana;1;0;1;37;2500.0;447.0;20.0;Apartamento;2967.0
Apartamento;Copacabana;4;2;2;240;10000.0;2000.0;700.0;Apartamento;12700.0
Casa de Condomínio;Barra da Tijuca;4;3;2;188;6000.0;1022.0;0.0;Casa;7022.0
Apartamento;Barra da Tijuca;3;2;2;137;12500.0;1850.0;271.0;Apartamento;14621.0
Apartamento;Barra da Tijuca;14;2;2;212;5000.0;1200.0;650.0;Apartamento;6850.0
Apartamento;Irajá;2;1;0;65;1100.0;255.0;0.0;Apartamento;1355.0
Apartamento;Barra da Tijuca;2;2;1;105;3000.0;1500.0;0.0;Apartamento;4500.0
Apartamento;Vila Isabel;2;1;0;70;1100.0;550.0;0.0;Apartamento;1650.0
Apartamento;São Conrado;4;3;4;600;23000.0;16864.0;3910.0;Apartamento;43774.0
