Tipo;Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU;Grupo;Valor_Total
Apartamento;Barra da Tijuca;4;2;1;140;3800.0;1660.0;317.0;Apartamento;5777.0
Apartamento;Botafogo;2;1;1;90;3500.0;1100.0;0.0;Apartamento;4600.0
Apartamento;Centro;1;0;0;41;1100.0;390.0;24.0;Apartamento;1514.0
Apartamento;Ipanema;4;2;3;350;25000.0;6200.0;13301.0;Apartamento;44501.0
Apartamento;Botafogo;3;2;1;125;5900.0;1300.0;2880.0;Apartamento;10080.0
Apartamento;Copacabana;2;1;0;66;2500.0;830.0;90.0;Apartamento;3420.0
Apartamento;Copacabana;4;1;1;200;8500.0;2200.0;2500.0;Apartamento;13200.0
Apartamento;Botafogo;3;2;1;120;3650.0;1591.0;250.0;Apartamento;5491.0
Apartamento;Botafogo;2;1;1;71;3500.0;875.0;0.0;Apartamento;4375.0
Apartamento;Campo Grande;3;1;0;77;1300.0;430.0;36.0;Apartamento;1766.0
Apartamento;Copacabana;2;0;0;80;2800.0;459.0;177.0;Apartamento;3436.0
Apartamento;Barra da Tijuca;2;2;1;105;5500.0;1950.0;520.0;Apartamento;7970.0
Apartamento;Tijuca;3;0;1;126;2800.0;800.0;196.0;Apartamento;3796.0
Apartamento;Ipanema;3;1;1;110;12000.0;1870.0;0.0;Apartamento;13870.0
Apartamento;Ipanema;2;0;0;80;3200.0;720.0;198.0;Apartamento;4118.0
Casa de Condomínio;Guaratiba;3;1;1;65;1050.0;550.0;2.0;Casa;1602.0
Apartamento;Barra da Tijuca;3;1;2;120;8000.0;1840.0;0.0;Apartamento;9840.0
Flat;Botafogo;1;1;1;44;3000.0;1071.0;102.0;Apartamento;4173.0
Apartamento;Freguesia (Jacarepaguá);2;0;0;54;1200.0;300.0;0.0;Apartamento;1500.0
Casa;Campo Grande;3;1;1;122;1100.0;0.0;153.0;Casa;1253.0
Apartamento;Vila Kosmos;2;0;0;50;900.0;250.0;0.0;Apartamento;1150.0
Apartamento;Barra da Tijuca;4;3;2;400;7500.0;1785.0;922.0;Apartamento;10207.0
Quitinete;Centro;1;0;0;34;750.0;470.0;0.0;Apartamento;1220.0
Apartamento;Leblon;4;2;1;230;9500.0;3300.0;780.0;Apartamento;13580.0
Apartamento;Centro;2;0;0;62;1500.0;440.0;21.0;Apartamento;1961.0
Apartamento;Leblon;3;1;1;116;6800.0;1421.0;321.0;Apartamento;8542.0
Apartamento;Barra da Tijuca;1;1;1;70;2150.0;1136.0;260.0;Apartamento;3546.0
Apartamento;Leblon;3;0;0;115;3800.0;1020.0;240.0;Apartamento;5060.0
Apartamento;Recreio dos Bandeirantes;4;2;1;158;3800.0;1300.0;250.0;Apartamento;5350.0
Apartamento;Senador Vasconcelos;1;1;1;40;850.0;180.0;0.0;Apartamento;1030.0
Apartamento;Campo Grande;2;1;1;66;1400.0;485.0;20.0;Apartamento;1905.0
Apartamento;Botafogo;2;1;0;74;2900.0;950.0;140.0;Apartamento;3990.0
Apartamento;Jacarepaguá;2;1;1;72;1500.0;762.0;20.0;Apartamento;2282.0
Apartamento;Copacabana;2;0;1;65;5000.0;1000.0;90.0;Apartamento;6090.0
Apartamento;Barra da Tijuca;3;3;3;127;5500.0;2300.0;672.0;Apartamento;8472.0
Apartamento;Copacabana;2;0;0;75;2900.0;850.0;150.0;Apartamento;3900.0
Apartamento;Recreio dos Bandeirantes;3;3;3;230;3800.0;628.0;6095.0;Apartamento;10523.0
Apartamento;Ipanema;4;2;4;240;15000.0;3500.0;902.0;Apartamento;19402.0
Casa de Condomínio;Vargem Grande;2;2;1;120;2200.0;50.0;0.0;Casa;2250.0
Casa de Vila;Catumbi;1;0;0;45;900.0;0.0;6.0;Casa;906.0
Apartamento;Botafogo;3;2;1;130;4200.0;1357.0;326.0;Apartamento;5883.0
Apartamento;Lins de Vasconcelos;2;1;1;52;800.0;499.0;35.0;Apartamento;1334.0
Apartamento;Tijuca;2;1;1;119;2500.0;1200.0;0.0;Apartamento;3700.0
Apartamento;Barra da Tijuca;3;2;1;112;2950.0;1433.0;333.0;Apartamento;4716.0
Apartamento;Copacabana;1;0;0;28;1800.0;750.0;0.0;Apartamento;2550.0
Apartamento;Botafogo;2;1;1;74;3000.0;915.0;85.0;Apartamento;4000.0
Apartamento;Barra da Tijuca;3;2;1;117;4500.0;990.0;624.0;Apartamento;6114.0
Apartamento;Copacabana;3;1;1;100;3900.0;1506.0;0.0;Apartamento;5406.0
Apartamento;Copacabana;3;1;0;130;4200.0;896.0;258.0;Apartamento;5354.0
Apartamento;Jardim Botânico;4;2;1;190;7500.0;1757.0;0.0;Apartamento;9257.0
Apartamento;Barra da Tijuca;1;1;0;45;1700.0;1252.0;213.0;Apartamento;3165.0
Apartamento;Recreio dos Bandeirantes;2;1;1;74;2100.0;543.0;157.0;Apartamento;2800.0
Apartamento;Flamengo;1;0;0;50;1950.0;590.0;68.0;Apartamento;2608.0
Casa;Encantado;4;2;1;180;2200.0;0.0;248.0;Casa;2448.0
Apartamento;Leblon;2;1;0;97;4800.0;1005.0;195.0;Apartamento;6000.0
Apartamento;Copacabana;2;0;0;70;2100.0;777.0;160.0;Apartamento;3037.0
Apartamento;Ipanema;3;1;0;120;4800.0;1230.0;270.0;Apartamento;6300.0
Apartamento;São Conrado;3;2;1;155;4800.0;2050.0;450.0;Apartamento;7300.0
Casa;Tijuca;3;0;0;120;2900.0;206.0;0.0;Casa;3106.0
Casa;Abolição;2;0;0;360;2000.0;0.0;0.0;Casa;2000.0
Apartamento;Barra da Tijuca;3;2;2;250;5000.0;1330.0;700.0;Apartamento;7030.0
Apartamento;Jardim Botânico;1;1;0;40;2000.0;300.0;0.0;Apartamento;2300.0
Flat;Lagoa;1;1;1;60;2500.0;1490.0;368.0;Apartamento;4358.0
